  temptable_boundary bulk_cool
! HEADER: 
!  This is the initial fuel temperature table 
!  The goal of this table is to provide fuel temperatures as a function of power 
!  an burnup as follows: 
!    Tfuel = Tmod + a * P  + b * P^2  where a and b are functions of burnup and P is the linear heat flux 
! 
!  The structure of this file is very basic.  A header will give the number of burnup points and the linear 
!  heat rate used to generate the file.  (this is so the data can be fit using normalized powers, if actual 
!  linear heat rates are used in the computation of a and b, enter 1.0 for the LHR. 
!  The header is followed by a list of a and b for each burnup point (in GWD/MT) 
! 
!                    LHR (W/cm) 
  temptable_qprime     0.974
!  list of temperature coefficients 
!  Bu (GWD/MT)    a (K)        b (K)
  temptable_polynomial
     44.50     1.36402700    0.00149289
     44.60     1.36419941    0.00149981
     44.70     1.36435364    0.00150677
     44.80     1.36448509    0.00151375
     44.90     1.36451394    0.00152107
     45.00     1.36428826    0.00152921
     45.10     1.36409459    0.00153722
     45.20     1.36384329    0.00154537
     45.30     1.36355501    0.00155359
     45.40     1.36322705    0.00156188
     45.50     1.36286730    0.00157043
     45.60     1.36172131    0.00158141
     45.70     1.36056992    0.00159241
     45.80     1.35938552    0.00160365
     45.90     1.35818469    0.00161503
     46.00     1.35708564    0.00162617
     46.10     1.35590290    0.00163757
     46.20     1.35474761    0.00164880
     46.30     1.35371092    0.00165975
     46.40     1.35268354    0.00167071
     46.50     1.35138835    0.00168302
     46.60     1.34998831    0.00169566
     46.70     1.34860520    0.00170823
     46.80     1.34727896    0.00172062
     46.90     1.34571692    0.00173355
     47.00     1.34405309    0.00174684
     47.10     1.34264100    0.00175934
     47.20     1.34151434    0.00177094
     47.30     1.34129960    0.00177942
     47.40     1.33991048    0.00179404
     47.50     1.33660016    0.00181926
     47.60     1.33383689    0.00184171
     47.70     1.33282079    0.00185532
     47.80     1.33556294    0.00185936
     47.90     1.33963951    0.00185697
     48.00     1.34364511    0.00185493
     48.10     1.34422060    0.00186132
     48.20     1.34476547    0.00186781
     48.30     1.34410984    0.00188051
     48.40     1.34293379    0.00189482
     48.50     1.34165354    0.00190954
     48.60     1.34032956    0.00192442
     48.70     1.33701775    0.00194904
     48.80     1.33273579    0.00197838
     48.90     1.33001525    0.00199961
     49.00     1.32841228    0.00201503
     49.10     1.32676707    0.00203058
     49.20     1.32511208    0.00204612
     49.30     1.32346322    0.00206164
     49.40     1.32172396    0.00207743
     49.50     1.31999704    0.00209314
     49.60     1.31834125    0.00210856
     49.70     1.31667786    0.00212401
     49.80     1.48895985    0.00181584
     49.90     1.67090777    0.00056170
