  temptable_boundary bulk_cool
! HEADER: 
!  This is the initial fuel temperature table 
!  The goal of this table is to provide fuel temperatures as a function of power 
!  an burnup as follows: 
!    Tfuel = Tmod + a * P  + b * P^2  where a and b are functions of burnup and P is the linear heat flux 
! 
!  The structure of this file is very basic.  A header will give the number of burnup points and the linear 
!  heat rate used to generate the file.  (this is so the data can be fit using normalized powers, if actual 
!  linear heat rates are used in the computation of a and b, enter 1.0 for the LHR. 
!  The header is followed by a list of a and b for each burnup point (in GWD/MT) 
! 
!                    LHR (W/cm) 
  temptable_qprime     1.000
!  list of temperature coefficients 
!  Bu (GWD/MT)    a (K)        b (K)
  temptable_polynomial
     44.30     1.39383146    0.00173624
     44.40     1.39337912    0.00174619
     44.50     1.39299715    0.00175599
     44.60     1.39261891    0.00176577
     44.70     1.39223986    0.00177555
     44.80     1.39185971    0.00178534
     44.90     1.39149370    0.00179504
     45.00     1.39113479    0.00180470
     45.10     1.39077205    0.00181437
     45.20     1.39040690    0.00182404
     45.30     1.39004166    0.00183371
     45.40     1.38967711    0.00184336
     45.50     1.38930978    0.00185301
     45.60     1.38894039    0.00186268
     45.70     1.38857186    0.00187233
     45.80     1.38820402    0.00188196
     45.90     1.38783362    0.00189159
     46.00     1.38745703    0.00190125
     46.10     1.38707424    0.00191092
     46.20     1.38670793    0.00192050
     46.30     1.38634087    0.00193009
     46.40     1.38597224    0.00193969
     46.50     1.38560321    0.00194928
     46.60     1.38524208    0.00195881
     46.70     1.38488218    0.00196835
     46.80     1.38452362    0.00197787
     46.90     1.38417042    0.00198737
     47.00     1.38373846    0.00199727
     47.10     1.38324514    0.00200748
     47.20     1.38275387    0.00201768
     47.30     1.38225419    0.00202794
     47.40     1.38070532    0.00204355
     47.50     1.37728066    0.00206876
     47.60     1.37432653    0.00209160
     47.70     1.37283725    0.00210704
     47.80     1.37158141    0.00212149
     47.90     1.37131452    0.00213088
     48.00     1.37102466    0.00214044
     48.10     1.37063461    0.00215034
     48.20     1.37024177    0.00216023
     48.30     1.36878803    0.00217556
     48.40     1.36722621    0.00219139
     48.50     1.36566599    0.00220721
     48.60     1.36410300    0.00222304
     48.70     1.36093886    0.00224703
     48.80     1.35707312    0.00227460
     48.90     1.35454708    0.00229532
     49.00     1.35298149    0.00231113
     49.10     1.35141111    0.00232696
     49.20     1.34983763    0.00234279
     49.30     1.34827800    0.00235854
     49.40     1.34674440    0.00237415
     49.50     1.34522943    0.00238965
     49.60     1.34377606    0.00240481
     49.70     1.34232106    0.00241998
     49.80     1.47601551    0.00216064
     49.90     1.72317832    0.00033787
